"@timestamp","_id","_index","_score","_type",agent,"agent.keyword",bytes,clientip,"event.dataset",extension,"extension.keyword","geo.coordinates","geo.dest","geo.src","geo.srcdest",host,"host.keyword","hour_of_day",index,"index.keyword",ip,"machine.os","machine.os.keyword","machine.ram",memory,message,"message.keyword",phpmemory,referer,request,"request.keyword",response,"response.keyword",tags,"tags.keyword",timestamp,url,"url.keyword","utc_time"
"Jul 4, 2023 @ 10:15:26.882","kK94F4kB_MXBIRPNEyxZ","kibana_sample_data_logs","-","_doc","Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1","Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1","3,239","39.13.31.223","sample_web_logs",css,css,"{
  ""coordinates"": [
    -107.0558742,
    37.277505
  ],
  ""type"": ""Point""
}",IN,US,"US:IN","cdn.elastic-elastic-elastic.org","cdn.elastic-elastic-elastic.org",14,"kibana_sample_data_logs","kibana_sample_data_logs","39.13.31.223","win 7","win 7","3,221,225,472","-","39.13.31.223 - - [2018-07-31T14:15:26.882Z] ""GET /styles/semantic-ui.css HTTP/1.1"" 404 3239 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1""","39.13.31.223 - - [2018-07-31T14:15:26.882Z] ""GET /styles/semantic-ui.css HTTP/1.1"" 404 3239 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1""","-","http://facebook.com/success/reinhard-furrer","/styles/semantic-ui.css","/styles/semantic-ui.css",404,404,"success, info","success, info","Jul 4, 2023 @ 10:15:26.882","https://cdn.elastic-elastic-elastic.org/styles/semantic-ui.css","https://cdn.elastic-elastic-elastic.org/styles/semantic-ui.css","Jul 4, 2023 @ 10:15:26.882"
"Jul 4, 2023 @ 10:08:52.998","oq94F4kB_MXBIRPNEyxZ","kibana_sample_data_logs","-","_doc","Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24","Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24","4,032","155.21.88.247","sample_web_logs",zip,zip,"{
  ""coordinates"": [
    -92.17973444,
    43.67676
  ],
  ""type"": ""Point""
}",SD,US,"US:SD","artifacts.elastic.co","artifacts.elastic.co",14,"kibana_sample_data_logs","kibana_sample_data_logs","155.21.88.247",osx,osx,"16,106,127,360","-","155.21.88.247 - - [2018-07-31T14:08:52.998Z] ""GET /elasticsearch/elasticsearch-6.3.2.zip HTTP/1.1"" 200 4032 ""-"" ""Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24""","155.21.88.247 - - [2018-07-31T14:08:52.998Z] ""GET /elasticsearch/elasticsearch-6.3.2.zip HTTP/1.1"" 200 4032 ""-"" ""Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24""","-","http://www.elastic-elastic-elastic.com/success/yelena-kondakova","/elasticsearch/elasticsearch-6.3.2.zip","/elasticsearch/elasticsearch-6.3.2.zip",200,200,"success, info","success, info","Jul 4, 2023 @ 10:08:52.998","https://artifacts.elastic.co/downloads/elasticsearch/elasticsearch-6.3.2.zip","https://artifacts.elastic.co/downloads/elasticsearch/elasticsearch-6.3.2.zip","Jul 4, 2023 @ 10:08:52.998"
"Jul 4, 2023 @ 10:08:41.668","rq94F4kB_MXBIRPNEyxZ","kibana_sample_data_logs","-","_doc","Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1","Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1","3,600","55.253.120.114","sample_web_logs","(empty)","(empty)","{
  ""coordinates"": [
    -97.659625,
    39.81790861
  ],
  ""type"": ""Point""
}",PH,US,"US:PH","www.elastic.co","www.elastic.co",14,"kibana_sample_data_logs","kibana_sample_data_logs","55.253.120.114",ios,ios,"3,221,225,472","-","55.253.120.114 - - [2018-07-31T14:08:41.668Z] ""GET /beats/metricbeat HTTP/1.1"" 200 3600 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1""","55.253.120.114 - - [2018-07-31T14:08:41.668Z] ""GET /beats/metricbeat HTTP/1.1"" 200 3600 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1""","-","http://twitter.com/success/talgat-musabayev","/beats/metricbeat","/beats/metricbeat",200,200,"warning, security","warning, security","Jul 4, 2023 @ 10:08:41.668","https://www.elastic.co/downloads/beats/metricbeat","https://www.elastic.co/downloads/beats/metricbeat","Jul 4, 2023 @ 10:08:41.668"
"Jul 4, 2023 @ 10:07:04.880","2q94F4kB_MXBIRPNEytY","kibana_sample_data_logs","-","_doc","Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)","Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)","8,066","88.13.107.162","sample_web_logs",gz,gz,"{
  ""coordinates"": [
    -95.06419444,
    29.66925
  ],
  ""type"": ""Point""
}",MG,US,"US:MG","artifacts.elastic.co","artifacts.elastic.co",14,"kibana_sample_data_logs","kibana_sample_data_logs","88.13.107.162",ios,ios,"11,811,160,064","-","88.13.107.162 - - [2018-07-31T14:07:04.880Z] ""GET /beats/filebeat/filebeat-6.3.2-linux-x86_64.tar.gz HTTP/1.1"" 200 8066 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)""","88.13.107.162 - - [2018-07-31T14:07:04.880Z] ""GET /beats/filebeat/filebeat-6.3.2-linux-x86_64.tar.gz HTTP/1.1"" 200 8066 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)""","-","http://twitter.com/success/michael-mcculley","/beats/filebeat/filebeat-6.3.2-linux-x86_64.tar.gz","/beats/filebeat/filebeat-6.3.2-linux-x86_64.tar.gz",200,200,"success, info","success, info","Jul 4, 2023 @ 10:07:04.880","https://artifacts.elastic.co/downloads/beats/filebeat/filebeat-6.3.2-linux-x86_64.tar.gz","https://artifacts.elastic.co/downloads/beats/filebeat/filebeat-6.3.2-linux-x86_64.tar.gz","Jul 4, 2023 @ 10:07:04.880"
"Jul 4, 2023 @ 10:06:00.187","Qq94F4kB_MXBIRPNEyxY","kibana_sample_data_logs","-","_doc","Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)","Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)","3,476","133.181.61.166","sample_web_logs","(empty)","(empty)","{
  ""coordinates"": [
    -85.15202778,
    33.63102778
  ],
  ""type"": ""Point""
}",CN,US,"US:CN","www.elastic.co","www.elastic.co",14,"kibana_sample_data_logs","kibana_sample_data_logs","133.181.61.166","win 8","win 8","21,474,836,480","-","133.181.61.166 - - [2018-07-31T14:06:00.187Z] ""GET /enterprise HTTP/1.1"" 200 3476 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)""","133.181.61.166 - - [2018-07-31T14:06:00.187Z] ""GET /enterprise HTTP/1.1"" 200 3476 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)""","-","http://facebook.com/warning/michael-lopez-alegria","/enterprise","/enterprise",200,200,"success, login","success, login","Jul 4, 2023 @ 10:06:00.187","https://www.elastic.co/downloads/enterprise","https://www.elastic.co/downloads/enterprise","Jul 4, 2023 @ 10:06:00.187"
"Jul 4, 2023 @ 10:04:41.410","V694F4kB_MXBIRPNEyxZ","kibana_sample_data_logs","-","_doc","Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1","Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1","6,520","41.77.243.255","sample_web_logs","(empty)","(empty)","{
  ""coordinates"": [
    -78.61224889,
    42.92228111
  ],
  ""type"": ""Point""
}",CN,US,"US:CN","www.elastic.co","www.elastic.co",14,"kibana_sample_data_logs","kibana_sample_data_logs","41.77.243.255",osx,osx,"21,474,836,480","-","41.77.243.255 - - [2018-07-31T14:04:41.410Z] ""GET /beats HTTP/1.1"" 200 6520 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1""","41.77.243.255 - - [2018-07-31T14:04:41.410Z] ""GET /beats HTTP/1.1"" 200 6520 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1""","-","http://twitter.com/success/valery-bykovsky","/beats","/beats",200,200,"error, info","error, info","Jul 4, 2023 @ 10:04:41.410","https://www.elastic.co/downloads/beats","https://www.elastic.co/downloads/beats","Jul 4, 2023 @ 10:04:41.410"
"Jul 4, 2023 @ 10:03:20.652","Wq94F4kB_MXBIRPNEyxZ","kibana_sample_data_logs","-","_doc","Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24","Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24","8,367","29.15.231.153","sample_web_logs","(empty)","(empty)","{
  ""coordinates"": [
    -76.75927694,
    35.80843944
  ],
  ""type"": ""Point""
}",CN,US,"US:CN","www.elastic.co","www.elastic.co",14,"kibana_sample_data_logs","kibana_sample_data_logs","29.15.231.153","win xp","win xp","7,516,192,768","-","29.15.231.153 - - [2018-07-31T14:03:20.652Z] ""GET /beats/filebeat HTTP/1.1"" 200 8367 ""-"" ""Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24""","29.15.231.153 - - [2018-07-31T14:03:20.652Z] ""GET /beats/filebeat HTTP/1.1"" 200 8367 ""-"" ""Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24""","-","http://www.elastic-elastic-elastic.com/success/william-b-lenoir","/beats/filebeat","/beats/filebeat",200,200,"success, info","success, info","Jul 4, 2023 @ 10:03:20.652","https://www.elastic.co/downloads/beats/filebeat","https://www.elastic.co/downloads/beats/filebeat","Jul 4, 2023 @ 10:03:20.652"
"Jul 4, 2023 @ 10:01:09.591","5K94F4kB_MXBIRPNEytY","kibana_sample_data_logs","-","_doc","Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1","Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1","5,314","247.126.133.102","sample_web_logs",zip,zip,"{
  ""coordinates"": [
    -72.04513556,
    41.33005778
  ],
  ""type"": ""Point""
}",ID,US,"US:ID","artifacts.elastic.co","artifacts.elastic.co",14,"kibana_sample_data_logs","kibana_sample_data_logs","247.126.133.102","win xp","win xp","13,958,643,712","-","247.126.133.102 - - [2018-07-31T14:01:09.591Z] ""GET /kibana/kibana-6.3.2-windows-x86_64.zip HTTP/1.1"" 200 5314 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1""","247.126.133.102 - - [2018-07-31T14:01:09.591Z] ""GET /kibana/kibana-6.3.2-windows-x86_64.zip HTTP/1.1"" 200 5314 ""-"" ""Mozilla/5.0 (X11; Linux x86_64; rv:6.0a1) Gecko/20110421 Firefox/6.0a1""","-","http://twitter.com/error/evgeny-tarelkin","/kibana/kibana-6.3.2-windows-x86_64.zip","/kibana/kibana-6.3.2-windows-x86_64.zip",200,200,"success, info","success, info","Jul 4, 2023 @ 10:01:09.591","https://artifacts.elastic.co/downloads/kibana/kibana-6.3.2-windows-x86_64.zip","https://artifacts.elastic.co/downloads/kibana/kibana-6.3.2-windows-x86_64.zip","Jul 4, 2023 @ 10:01:09.591"
"Jul 4, 2023 @ 10:00:53.309","Aq94F4kB_MXBIRPNEyxY","kibana_sample_data_logs","-","_doc","Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24","Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24","3,639","99.92.225.21","sample_web_logs",css,css,"{
  ""coordinates"": [
    -149.1257892,
    60.96609583
  ],
  ""type"": ""Point""
}",IN,US,"US:IN","cdn.elastic-elastic-elastic.org","cdn.elastic-elastic-elastic.org",14,"kibana_sample_data_logs","kibana_sample_data_logs","99.92.225.21",ios,ios,"19,327,352,832","-","99.92.225.21 - - [2018-07-31T14:00:53.309Z] ""GET /styles/ads.css HTTP/1.1"" 404 3639 ""-"" ""Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24""","99.92.225.21 - - [2018-07-31T14:00:53.309Z] ""GET /styles/ads.css HTTP/1.1"" 404 3639 ""-"" ""Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.50 Safari/534.24""","-","http://twitter.com/success/lev-dyomin","/styles/ads.css","/styles/ads.css",404,404,"success, info","success, info","Jul 4, 2023 @ 10:00:53.309","https://cdn.elastic-elastic-elastic.org/styles/ads.css","https://cdn.elastic-elastic-elastic.org/styles/ads.css","Jul 4, 2023 @ 10:00:53.309"
"Jul 4, 2023 @ 09:59:44.492","Xq94F4kB_MXBIRPNEyxZ","kibana_sample_data_logs","-","_doc","Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)","Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)","3,907","19.112.190.54","sample_web_logs","(empty)","(empty)","{
  ""coordinates"": [
    -97.08577028,
    36.16025194
  ],
  ""type"": ""Point""
}",BR,US,"US:BR","www.elastic.co","www.elastic.co",13,"kibana_sample_data_logs","kibana_sample_data_logs","19.112.190.54","win 7","win 7","17,179,869,184","-","19.112.190.54 - - [2018-07-31T13:59:44.492Z] ""GET /beats/metricbeat HTTP/1.1"" 200 3907 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)""","19.112.190.54 - - [2018-07-31T13:59:44.492Z] ""GET /beats/metricbeat HTTP/1.1"" 200 3907 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)""","-","http://www.elastic-elastic-elastic.com/warning/edward-lu","/beats/metricbeat","/beats/metricbeat",200,200,"success, info","success, info","Jul 4, 2023 @ 09:59:44.492","https://www.elastic.co/downloads/beats/metricbeat","https://www.elastic.co/downloads/beats/metricbeat","Jul 4, 2023 @ 09:59:44.492"
